C0914729;DB00918
C0025624;DB00940
C0031444;DB00946
C0052762;DB00972
C3814772;DB00986
C0020402;DB01005
C0038689;DB01015
C0053526;DB01019
C0022625;DB01026
C0000618;DB01033
C0025241;DB01042
C0301366;DB01057
C0069805;DB01062
C0025219;DB01065
C0017642;DB01067
C0009011;DB01068
C0286651;DB01076
C0015121;DB01077
C0033126;DB01087
C0082608;DB01095
C0063041;DB01097
C0064870;DB01106
C0025840;DB01107
C0008281;DB01114
C0165603;DB01117
C0071836;DB01130
C0006686;DB01164
C0028902;DB01165
C0029309;DB01173
C0016229;DB01195
C0078847;DB01198
C0073372;DB01201
C0048504;DB01213
C0290883;DB01217
C0073374;DB01220
C0058371;DB01231
C0055461;DB01243
C1541483;DB01257
C0049065;DB01262
C1566537;DB01270
C1569608;DB01273
C0001655;DB01285
C1176315;DB01319
C0007541;DB01326
C0525678;DB01367
C0009262;DB01394
C0002164;DB01430
C0025607;DB01433
C0044410;DB01436
C0008777;DB01597
C0040193;DB01607
C0020336;DB01611
C0026388;DB01618
C0068475;DB04861
C0532578;DB04878
C1609686;DB04897
C1313616;DB04938
C1948068;DB05015
C0123047;DB05266
C1628324;DB05294
C1722685;DB05311
C1678805;DB05676
C1367202;DB06186
C1870115;DB06207
C1609165;DB06273
C2605855;DB06290
C1453642;DB06402
C1831796;DB06589
C1831808;DB06605
C1832027;DB06650
C0078643;DB06694
C0002371;DB06723
C2351042;DB06771
C1721300;DB06813
C1871526;DB06817
C0077275;DB06825
C0206816;DB08792
C0068395;DB08804
C2987716;DB08828
C2931926;DB08877
C2001856;DB08889
C3496793;DB08899
C1530889;DB08900
C1664205;DB08903
C1872109;DB08904
C2987648;DB08916
C0084572;DB08922
C0022267;DB08941
C3658706;DB09037
C3273754;DB09040
C2934193;DB09080
C0037532;DB09112
C0216971;DB09114
C2725262;DB09119
C0060231;DB09162
C0286382;DB09221
C0165312;DB09229
C4045522;DB09263
C0052432;DB09274
C0038665;DB09324
C0037508;DB09325
C0074769;DB09472
C0014027;DB09477
C0065517;DB09481
C0875947;DB09517
C0074332;DB11365
C1101148;DB11591
C0216231;DB00020
C0293359;DB00046
C0291140;DB00053
C1705480;DB00067
C0770343;DB00085
C0102139;DB00088
C0962603;DB00092
C1172734;DB00108
C0672596;DB00110
C0042845;DB00115
C0006674;DB00136
C0035527;DB00140
C0010654;DB00151
C0014695;DB00153
C0085542;DB00175
C0085228;DB00176
C0759933;DB00216
C0376637;DB00224
C0061938;DB00226
C0092801;DB00242
C0073633;DB00243
C0076829;DB00273
C0006400;DB00297
C0040613;DB00302
C1120106;DB00303
C0765273;DB00307
C0009214;DB00318
C0016343;DB00322
C0012306;DB00327
C0014964;DB00330
C0028157;DB00336
C0066139;DB00340
C0164386;DB00354
C1142738;DB00362
C0009079;DB00363
C0013092;DB00366
C0286079;DB00369
C0041009;DB00376
C0025887;DB00379
C0004906;DB00394
C0033308;DB00396
C0257685;DB00399
C0030840;DB00417
C0033399;DB00420
C0028128;DB00435
C0002144;DB00437
C0050940;DB00448
C0040165;DB00451
C0020934;DB00458
C1144149;DB00480
C0118168;DB00492
C0165921;DB00494
C0042313;DB00512
C0001911;DB00518
C0053091;DB00542
C0064636;DB00555
C0006949;DB00564
C0038687;DB00576
C0011276;DB00618
C0040864;DB00620
C0039601;DB00624
C0027996;DB00627
C0075770;DB00632
C0013360;DB00651
C0024480;DB00653
C0090306;DB00654
C0718050;DB00658
C0016294;DB00663
C0002679;DB00681
C0146011;DB00697
C0143993;DB00708
C0028356;DB00717
C0886584;DB00765
C0062106;DB00793
C0009316;DB00803
C1176316;DB00820
C0031411;DB00830
C0040979;DB00831
C0007537;DB00833
C0527316;DB00843
C0031184;DB00850
C0023586;DB00854
C0030817;DB00859
C0032950;DB00860
C0034665;DB00863
C0053229;DB00868
C0287041;DB00876
C0009008;DB00882
C0246719;DB00884
C0040879;DB00897
C0061851;DB00904
C0040263;DB00911
C0056732;DB00924
C0030071;DB00935
C0060135;DB00949
C0296800;DB00950
C0022209;DB00951
C0079083;DB00958
C0031937;DB00960
C0248719;DB00966
C0079466;DB01018
C0036579;DB01037
C0039736;DB01041
C0753645;DB01044
C0014708;DB01049
C0028127;DB01054
C0022245;DB01064
C0033405;DB01069
C0012522;DB01075
C0077144;DB01108
C0007562;DB01112
C0028066;DB01115
C0070525;DB01121
C0008241;DB01131
C0009077;DB01147
C0058310;DB01160
C0008947;DB01190
C0006938;DB01197
C0377265;DB01202
C0055856;DB01211
C0041030;DB01214
C0010976;DB01219
C3536876;DB01227
C0023570;DB01235
C0074414;DB01236
C0299792;DB01238
C0033567;DB01240
C1455147;DB01254
C1703334;DB01256
C1695579;DB01272
C0969589;DB01274
C0020223;DB01275
C1176415;DB01283
C0007546;DB01327
C0002640;DB01351
C0054249;DB01353
C0024477;DB01377
C0126789;DB01397
C0073983;DB01399
C0027679;DB01400
C0213771;DB01409
C0039607;DB01420
C0002697;DB01427
C0030557;DB01626
C0965618;DB01656
C0145185;DB02638
C0034410;DB04575
C2350948;DB04871
C0754280;DB04908
C0037134;DB05245
C0289884;DB05259
C1700683;DB05271
C1876229;DB05521
C1958126;DB06203
C2353951;DB06292
